brand,model,price,discount,ram_DDR4,ram_DDR5,ram_lpddr4x,bit,windows,ssd(GB),hdd(GB),display,warranty_years,warranty_accidental,processor_amd_quad,processor_amd_octa,processor_amd_hexa,processor_intel
Asus,TUF GAMING A15 RYZEN 7 OCTA CORE 4800H,79990,21.0,16.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,0,0,7,0,0.0
Asus,VIVOBOOK FLIP 14 CORE I3 11TH GEN,46990,30.0,0.0,0.0,8.0,0.0,11.0,512.0,0.0,14.0,1.0,0,0,0,0,3.0
Asus,RYZEN 5 HEXA CORE,54990,24.0,8.0,0.0,0.0,0.0,11.0,512.0,0.0,14.0,1.0,0,0,0,5,0.0
Hp,PAVILION INTEL CORE I7 12TH GEN,85990,15.0,16.0,0.0,0.0,64.0,11.0,1024.0,0.0,15.6,1.0,0,0,0,0,7.0
Dell,INSPIRON CORE I3 10TH GEN,39852,10.0,4.0,0.0,0.0,64.0,10.0,256.0,0.0,15.0,1.0,0,0,0,0,3.0
Asus,VIVOBOOK ULTRA 14,39990,32.0,8.0,0.0,0.0,64.0,11.0,512.0,0.0,14.0,1.0,0,0,0,0,3.0
Apple,MACBOOK AIR M1,110900,23.65,8.0,0.0,0.0,0.0,other,512.0,0.0,13.3,1.0,0,0,0,0,0.0
Asus,VIVOBOOK K15 OLED RYZEN 5 HEXA CORE AMD R5,54990,32.0,16.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,0,0,0,5,0.0
Hp,ENVY 13 INTEL EVO CORE I7 12TH GEN,109990,13.0,0.0,0.0,16.0,0.0,11.0,1024.0,0.0,13.3,1.0,0,0,0,0,7.0
Apple,2023 MACBOOK PRO M2 PRO,269900,23.65,0.0,0.0,0.0,0.0,other,1024.0,0.0,16.0,1.0,0,0,0,0,0.0
Asus,ZENBOOK DUO 14,74990,39.0,0.0,0.0,8.0,64.0,11.0,512.0,0.0,14.0,1.0,0,0,0,0,5.0
Asus,VIVOBOOK 15 OLED,50990,23.0,0.0,0.0,0.0,0.0,other,0.0,0.0,15.0,1.0,0,0,0,0,
